UTC,air_temp,M1,M2,M3,AMB,OBStar,OBPort,FPA,ROIC,boardid,med_counts,sun_alt
60754.09774325231,7.3,8.924,9.586,749.802,7.761,16.4985018301542,17.13729623711032,-25.64625436938383,-21.35655332031246,1,15521.0,-5.448247414695942
60754.09774325231,7.3,8.924,9.586,749.802,7.761,16.4985018301542,17.13729623711032,-32.9054139294883,-20.67119482421873,3,18126.0,-5.448247414695942
60754.09774325231,7.3,8.924,9.586,749.802,7.761,16.4985018301542,17.13729623711032,-37.93199259730176,-34.93092487792973,4,12151.0,-5.448247414695942
60754.24179703704,9.1,6.163,6.234,625.68,4.029,13.42123125905848,14.04833006435393,-27.58220474062011,-25.69497434082029,2,14187.0,-45.3448292026486
60754.24179703704,9.1,6.163,6.234,625.68,4.029,13.42123125905848,14.04833006435393,-23.51225950320799,-19.82982812500001,6,12866.0,-45.3448292026486
60754.24179703704,9.1,6.163,6.234,625.68,4.029,13.42123125905848,14.04833006435393,-32.39634360879592,-26.5957551513672,5,18561.0,-45.3448292026486
60754.24179703704,9.1,6.163,6.234,625.68,4.029,13.42123125905848,14.04833006435393,-25.64625436938383,-22.00622148437492,1,14719.0,-45.3448292026486
60754.24179703704,9.1,6.163,6.234,625.68,4.029,13.42123125905848,14.04833006435393,-32.54553131203227,-21.42159516601555,3,16465.0,-45.3448292026486
60754.24179703704,9.1,6.163,6.234,625.68,4.029,13.42123125905848,14.04833006435393,-37.93199259730176,-34.93092487792973,4,11786.0,-45.3448292026486
60754.03491336806,11.5,8.826,9.784,441.575,10.805,17.9476669527863,18.81383494024595,-562.0078916628613,-24.93563515624993,2,15753.0,13.37438445897076
60754.03491336806,11.5,8.826,9.784,441.575,10.805,17.9476669527863,18.81383494024595,-23.51225950320799,-19.17457187499997,6,13626.5,13.37438445897076
60754.03491336806,11.5,8.826,9.784,441.575,10.805,17.9476669527863,18.81383494024595,-33.47599146116409,-26.92387875976561,5,19724.0,13.37438445897076
60754.03491336806,11.5,8.826,9.784,441.575,10.805,17.9476669527863,18.81383494024595,-25.64625436938383,-21.13999726562497,1,16001.0,13.37438445897076
60754.03491336806,11.5,8.826,9.784,441.575,10.805,17.9476669527863,18.81383494024595,-32.9054139294883,-20.45679472656246,3,19034.0,13.37438445897076
60754.03491336806,11.5,8.826,9.784,441.575,10.805,17.9476669527863,18.81383494024595,-37.93199259730176,-34.81986650390627,4,12334.0,13.37438445897076
60754.00921334491,12.9,8.431,9.586,838.885,11.1,18.13453433179394,18.89591795195384,-25.78279165333987,-24.61020407714841,2,15736.0,20.92775403015852
